rank_combined,fast_window,mid_window,slow_window,selection_style,final_count,strategy_nav,strategy_return_pct,max_drawdown_pct,target_buy_count,target_holding_days,target_signal_days,target_latest_in_basket,target_pnl_dollar,target_buy_cost,target_sell_proceeds,target_ending_market_value,target_pnl_rank,target_buy_count_rank,target_holding_days_rank,combined_score,latest_basket,notes
112,2,5,12,er_over_vol,10,1.1511616869734882,15.116168697348819,-13.448859349631704,6,17,20,False,11339.068547119037,349759.1350497883,361098.2035969073,0.0,97,64,121,1026.5598122680722,HK.00522|HK.01888|HK.01548|HK.06166|HK.02252|HK.00470|HK.00148|HK.03896|HK.00317|HK.02577,
113,2,5,12,er_over_vol,15,1.1511616869734882,15.116168697348819,-13.448859349631704,6,17,20,False,11339.068547119037,349759.1350497883,361098.2035969073,0.0,97,64,121,1026.5598122680722,HK.00522|HK.01888|HK.01548|HK.06166|HK.02252|HK.00470|HK.00148|HK.03896|HK.00317|HK.02577,
114,2,5,12,er_over_vol,20,1.1511616869734882,15.116168697348819,-13.448859349631704,6,17,20,False,11339.068547119037,349759.1350497883,361098.2035969073,0.0,97,64,121,1026.5598122680722,HK.00522|HK.01888|HK.01548|HK.06166|HK.02252|HK.00470|HK.00148|HK.03896|HK.00317|HK.02577,
115,3,10,20,er_over_vol,10,1.14017512475044,14.017512475043992,-17.20522965452692,6,19,22,False,-6216.868613575352,317456.7405953889,311239.8719818136,0.0,169,64,118,1024.5192618418232,HK.09696|HK.02252|HK.01288|HK.00522|HK.01888|HK.01548|HK.00470|HK.06166|HK.01877|HK.00005,
116,3,10,20,er_over_vol,15,1.14017512475044,14.017512475043992,-17.20522965452692,6,19,22,False,-6216.868613575352,317456.7405953889,311239.8719818136,0.0,169,64,118,1024.5192618418232,HK.09696|HK.02252|HK.01288|HK.00522|HK.01888|HK.01548|HK.00470|HK.06166|HK.01877|HK.00005,
117,3,10,20,er_over_vol,20,1.14017512475044,14.017512475043992,-17.20522965452692,6,19,22,False,-6216.868613575352,317456.7405953889,311239.8719818136,0.0,169,64,118,1024.5192618418232,HK.09696|HK.02252|HK.01288|HK.00522|HK.01888|HK.01548|HK.00470|HK.06166|HK.01877|HK.00005,
118,4,8,20,er_over_vol,10,1.183972180956549,18.39721809565491,-20.997310465688525,4,25,29,False,15029.3234136182,217164.0940128935,232193.4174265117,0.0,64,121,100,1013.4468405410385,HK.03317|HK.09696|HK.01772|HK.02252|HK.01288|HK.00522|HK.01888|HK.03988|HK.01548|HK.00470,
119,4,8,20,er_over_vol,15,1.183972180956549,18.39721809565491,-20.997310465688525,4,25,29,False,15029.3234136182,217164.0940128935,232193.4174265117,0.0,64,121,100,1013.4468405410385,HK.03317|HK.09696|HK.01772|HK.02252|HK.01288|HK.00522|HK.01888|HK.03988|HK.01548|HK.00470,
120,4,8,20,er_over_vol,20,1.183972180956549,18.39721809565491,-20.997310465688525,4,25,29,False,15029.3234136182,217164.0940128935,232193.4174265117,0.0,64,121,100,1013.4468405410385,HK.03317|HK.09696|HK.01772|HK.02252|HK.01288|HK.00522|HK.01888|HK.03988|HK.01548|HK.00470,
121,2,6,15,er_over_vol,10,1.3115902781601136,31.159027816011363,-15.611309298958332,6,16,19,False,2520.4152874891297,357042.64017088804,359563.0554583772,0.0,130,64,124,1002.0368442553078,HK.01888|HK.01548|HK.00522|HK.02252|HK.01288|HK.00470|HK.00148|HK.06166|HK.03696|HK.00699,
